うわぁ, 16
、, 2998
すべて, 51
箱, 176
さん, 452
の, 2611
新しい, 48
アート, 8
は, 2344
すごく, 72
きれい, 24
ね, 1161
✨　, 2
イン, 14
スタ, 14
を, 1052
寂し, 3
がっ, 1
た, 1479
たくさん, 94
「, 465
いい, 229
👍, 1
」, 465
ありがとう, 173
ござい, 80
ます, 534
！, 2766
🥺, 12
アイコン, 3
かわいい, 24
です, 1294
😍, 17
あっ, 180
Undertale, 1
から, 445
テミ, 4
好き, 238
な, 840
キャラクター, 18
だ, 692
それ, 83
ゲーム, 23
か, 1042
？, 1000
調べ, 31
て, 1534
み, 62
これ, 60
はい, 155
僕, 235
友達, 97
グライムズ, 1
誕生, 10
日, 44
プレゼント, 6
だっ, 152
って, 333
怖い, 64
お, 311
話し, 32
が, 1664
今日, 25
ん, 621
えっ, 22
話, 47
ふり, 8
する, 139
だろう, 161
。, 1381
ちょっと, 45
変哲, 2
いいえ, 27
違う, 69
１０, 3
月, 18
１８, 2
昨年, 1
持つ, 8
で, 1165
も, 932
尋ね, 2
か〜, 11
笑, 1434
ピクミン, 21
や, 62
マリオ, 6
ほのぼの, 2
し, 529
しか, 30
やっ, 47
こと, 395
ない, 694
秋, 6
生まれ, 7
🍄🍁, 1
すごい, 63
一番, 29
よ, 514
✨, 29
と, 965
動物, 21
森, 5
ニンテン, 3
ドー, 3
見, 176
遊ば, 2
今, 139
欲しい, 38
空, 4
高く, 11
綺麗, 52
🍁, 3
どうぶつ, 1
私, 248
まし, 330
Wii, 2
時, 101
けど, 159
現実, 8
に, 1712
い, 179
たら, 164
な〜, 31
良かっ, 26
〜, 38
🍃, 2
　, 145
ピキミン, 1
小さい, 32
あちこち, 3
いる, 301
そう, 282
テレビ, 22
リモコン, 1
取っ, 7
くれ, 48
たり, 28
一緒, 21
菓子, 22
食べ, 61
Reacted, 9
to, 20
your, 9
story, 13
:, 31
🎉, 2
日本, 274
カシ, 2
彼女, 15
夫, 3
仙台, 7
住ん, 19
３, 10
訪ね, 5
本当, 51
とても, 143
たのしい, 1
かー, 5
3, 18
なら, 53
(°_°), 1
もし, 12
すれ違っ, 1
青, 8
風呂, 3
入れ, 14
🛀, 1
う, 3
そ〜, 1
黄色, 2
髪, 19
外国, 30
人, 333
多分, 81
その, 79
なぜ, 15
特別, 22
会え, 3
偶然, 4
金髪, 7
😳😳, 4
水, 8
強い, 13
他, 25
弱い, 3
不思議, 17
思い, 125
😊, 32
あぁ, 2
ぁ, 13
分かる, 44
アメリカ, 158
有名, 11
じゃ, 189
少し, 107
悲しい, 23
憧れ, 3
カッコ, 44
色々, 7
髪色, 5
カラフル, 2
イメージ, 33
🧑🏻, 1
‍, 3
🦰👩🏼, 1
🦳👨🏽, 1
🦱🧒, 1
歌, 38
流れ, 1
属性, 1
覚え, 22
やすかっ, 1
誰, 43
できる, 68
かっこ, 21
あぅ, 1
ある, 336
分かり, 21
クイズ, 6
やがて, 1
戻る, 8
だいたい, 2
黒, 6
新鮮, 6
感じ, 53
YouTube, 17
き, 75
😳, 53
待っ, 14
ね〜, 6
すみ, 69
ませ, 126
統計, 4
😅, 32
作っ, 40
語, 175
だめ, 9
ごめん, 69
もう, 44
一, 72
度, 32
後, 36
