政 ,セイ ショウ マ ,まつりごと ,"politics, government"
被 ,ヒ カブ.セ ,こうむ.る おお.う かぶ.る ,"incur, cover, veil, brood over, shelter, wear, put on, be exposed (film), receiving"
頭 ,トウ ズ ト カブ ,あたま かしら -がしら ,"head, counter for large animals"
技 ,ギ ,わざ ,"skill, art, craft, ability, feat, performance, vocation, arts"
低 ,テイ ,ひく.い ひく.める ひく.まる ,"lower, short, humble"
復 ,フク ,また ,"restore, return to, revert, resume"
負 ,フ ,ま.ける ま.かす お.う ,"defeat, negative, -, minus, bear, owe, assume a responsibility"
渡 ,ト ワタ. ,わた.る -わた.る ,"transit, ford, ferry, cross, import, deliver, diameter, migrate"
失 ,シツ ,うしな.う う.せる ,"lose, error, fault, disadvantage, loss"
移 ,イ ,うつ.る うつ.す ,"shift, move, change, drift, catch (cold, fire), pass into"
差 ,サ ,さ.す さ.し ,"distinction, difference, variation, discrepancy, margin, balance"
個 ,コ カ ,,"individual, counter for articles and military units"
門 ,モン ,かど ,gates
課 ,カ ,,"chapter, lesson, section, department, division, counter for chapters (of a book)"
末 ,マツ バツ ,すえ ,"end, close, tip, powder, posterity"
守 ,シュ ス カ ,まも.る まも.り もり -もり ,"guard, protect, defend, obey"
若 ,ジャク ニャク ニャ モ.シク ,わか.い わか- も.しくわ も.し ,"young, if, perhaps, possibly, low number, immature"
脳 ,ノウ ドウ ,のうずる ,"brain, memory"
極 ,キョク ゴク ,きわ.める きわ.まる きわ.まり きわ.み き.める -ぎ.め き.まる ,"poles, settlement, conclusion, end, highest rank, electric poles, very, extremely, most, highly, 10**48"
種 ,シュ -グ ,たね ,"species, kind, class, variety, seed"
美 ,ビ ミ ウツク.シ ,,"beauty, beautiful"
命 ,メイ ミョウ ,いのち ,"fate, command, decree, destiny, life, appoint"
含 ,ガン ,ふく.む ふく.める ,"include, bear in mind, understand, cherish"
福 ,フ ,,"blessing, fortune, luck, wealth"
蔵 ,ゾウ ソウ カク.レ ,くら おさ.める ,"storehouse, hide, own, have, possess"
量 ,リョウ ハカ. ,,"quantity, measure, weight, amount, consider, estimate, surmise"
望 ,ボウ モウ モ ,のぞ.む ,"ambition, full moon, hope, desire, aspire to, expect"
非 ,ヒ ,あら.ず ,"un-, mistake, negative, injustice, non-"
観 ,カン ,み.る しめ.す ,"outlook, look, appearance, condition, view"
察 ,サツ ,,"guess, presume, surmise, judge, understand"
段 ,ダン タン ,,"grade, steps, stairs"
横 ,オウ ,よこ ,"sideways, side, horizontal, width, woof"
型 ,ケイ ,かた -がた ,"mould, type, model"
深 ,シン ,ふか.い -ぶか.い ふか.まる ふか.める み- ,"deep, heighten, intensify, strengthen"
況 ,キョウ ,まし.て いわ.んや おもむき ,"condition, situation"
申 ,シン ,もう.す もう.し- さる ,"have the honor to, sign of the monkey, 3-5PM, ninth sign of Chinese zodiac"
様 ,ヨウ ショウ ,さま さん ,"Esq., way, manner, situation, polite suffix"
財 ,ザイ サイ ゾ ,,"property, money, wealth, assets"
港 ,コウ ,みなと ,harbor
識 ,シ ,,"discriminating, know, write"
呼 ,コ ヨ. ,,"call, call out to, invite"
達 ,タツ ダ -タ ,,"accomplished, reach, arrive, attain"
良 ,リョウ -イ. ,よ.い -よ.い い.い ,"good, pleasing, skilled"
針 ,シン ハ ,,"needle, pin, staple, stinger"
専 ,セン ,もっぱ.ら ,"specialty, exclusive, mainly, solely"
谷 ,コク キワ.マ ,たに ,valley
候 ,コウ ,そうろう ,"climate, season, weather"
史 ,,,"history, chronicle"
階 ,カイ キザハ ,,"storey, stair, counter for storeys of a building"
程 ,テイ -ホ ,ほど ,"extent, degree, law, formula, distance, limits, amount"
